#{"t_start": 1755726833.5875497, "env_id": "None"}
r,l,t
1652.972294,5000,11276.619312
1652.972294,5000,11283.084782
1652.972294,5000,11288.62044
23232.649637,5000,11323.798503
23232.649637,5000,11329.73032
23232.649637,5000,11334.987904
23232.649637,5000,11340.286273
23232.649637,5000,11345.660476
1521.68328,5000,11378.396459
1521.68328,5000,11383.353539
1521.68328,5000,11388.325644
1521.68328,5000,11393.261754
1521.68328,5000,11399.682277
99707.587618,5000,11438.410927
99707.587618,5000,11444.882427
99707.587618,5000,11450.310252
99707.587618,5000,11457.16834
99707.587618,5000,11463.217707
74402.888056,5000,11494.893772
74402.888056,5000,11500.297941
74402.888056,5000,11505.857983
74402.888056,5000,11511.374462
74402.888056,5000,11516.826163
1092.068228,5000,11549.647767
1092.068228,5000,11554.690589
1092.068228,5000,11559.81425
1092.068228,5000,11564.830791
1092.068228,5000,11569.920757
1452.648278,5000,11604.040372
1452.648278,5000,11608.97328
1452.648278,5000,11613.9795
1452.648278,5000,11618.887364
1452.648278,5000,11624.022354
18209.545507,5000,11662.994292
18209.545507,5000,11667.97677
18209.545507,5000,11673.031495
18209.545507,5000,11678.562712
18209.545507,5000,11683.64814
103572.000855,5000,11715.998461
103572.000855,5000,11721.04145
103572.000855,5000,11726.202982
103572.000855,5000,11731.347137
103572.000855,5000,11736.636068
98270.747825,5000,11771.151604
98270.747825,5000,11777.391901
98270.747825,5000,11782.936915
98270.747825,5000,11788.383911
98270.747825,5000,11794.944983
92355.093953,5000,11828.525677
92355.093953,5000,11833.717745
92355.093953,5000,11838.799447
92355.093953,5000,11843.888867
92355.093953,5000,11849.163845
104578.06386,5000,11882.385778
104578.06386,5000,11887.446766
104578.06386,5000,11892.69027
104578.06386,5000,11897.749181
104578.06386,5000,11902.78582
94658.537086,5000,11932.918324
94658.537086,5000,11938.11548
94658.537086,5000,11943.100328
94658.537086,5000,11948.648514
94658.537086,5000,11953.941882
7059.161389,5000,11987.995593
7059.161389,5000,11993.467544
7059.161389,5000,11998.358261
7059.161389,5000,12003.279425
7059.161389,5000,12008.193601
107648.490759,5000,12046.293814
107648.490759,5000,12051.498831
107648.490759,5000,12056.550366
107648.490759,5000,12061.597588
107648.490759,5000,12066.694608
654.935692,5000,12101.153653
654.935692,5000,12106.347601
654.935692,5000,12111.378453
654.935692,5000,12116.260569
654.935692,5000,12121.086507
91559.208747,5000,12153.364883
91559.208747,5000,12158.379827
91559.208747,5000,12163.395548
91559.208747,5000,12168.480274
91559.208747,5000,12173.518913
519.319005,5000,12206.052061
519.319005,5000,12210.874642
519.319005,5000,12215.677359
519.319005,5000,12220.472485
519.319005,5000,12225.251316
2387.548902,5000,12257.56226
2387.548902,5000,12262.368382
2387.548902,5000,12267.283003
2387.548902,5000,12272.158568
2387.548902,5000,12277.381155
110.722297,5000,12311.745943
110.722297,5000,12317.341682
110.722297,5000,12322.531533
110.722297,5000,12328.360318
110.722297,5000,12333.548906
92072.336931,5000,12368.693385
92072.336931,5000,12374.091573
92072.336931,5000,12379.328775
92072.336931,5000,12384.398152
92072.336931,5000,12389.37905
105345.415316,5000,12419.236486
105345.415316,5000,12424.478132
105345.415316,5000,12431.249652
105345.415316,5000,12437.063485
105345.415316,5000,12442.683994
1396.59172,5000,12476.256626
1396.59172,5000,12481.404379
1396.59172,5000,12486.809574
1396.59172,5000,12491.771725
1396.59172,5000,12496.763069
